"REF_DATE","GEO","DGUID","Variable","Sub-sector","Activity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Health","Jobs","190","thousands","3","v1047595128","6.1.1.4","259","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Social services","Jobs","190","thousands","3","v1047595129","6.1.1.5","77","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Environment","Jobs","190","thousands","3","v1047595130","6.1.1.6","0","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Development and housing","Jobs","190","thousands","3","v1047595131","6.1.1.7","4","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595132","6.1.1.8","2","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595133","6.1.1.9","6","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","International","Jobs","190","thousands","3","v1047595134","6.1.1.10","1","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Religion","Jobs","190","thousands","3","v1047595135","6.1.1.11","14","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Business and professional associations, unions","Jobs","190","thousands","3","v1047595136","6.1.1.12","38","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Not elsewhere classified","Jobs","190","thousands","3","v1047595137","6.1.1.13","14","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Total activities","Jobs","190","thousands","3","v1047595320","6.1.2.1","162","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Culture and recreation","Jobs","190","thousands","3","v1047595321","6.1.2.2","16","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Education and research","Jobs","190","thousands","3","v1047595322","6.1.2.3","19","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Health","Jobs","190","thousands","3","v1047595323","6.1.2.4","3","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Social services","Jobs","190","thousands","3","v1047595324","6.1.2.5","44","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Environment","Jobs","190","thousands","3","v1047595325","6.1.2.6","0","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Development and housing","Jobs","190","thousands","3","v1047595326","6.1.2.7","4","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595327","6.1.2.8","2","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595328","6.1.2.9","6","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","International","Jobs","190","thousands","3","v1047595329","6.1.2.10","1","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Religion","Jobs","190","thousands","3","v1047595330","6.1.2.11","14","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Business and professional associations, unions","Jobs","190","thousands","3","v1047595331","6.1.2.12","38","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions less government","Not elsewhere classified","Jobs","190","thousands","3","v1047595332","6.1.2.13","14","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Total activities","Jobs","190","thousands","3","v1047595138","7.1.1.1","714","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Culture and recreation","Jobs","190","thousands","3","v1047595139","7.1.1.2","23","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Education and research","Jobs","190","thousands","3","v1047595140","7.1.1.3","187","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Health","Jobs","190","thousands","3","v1047595141","7.1.1.4","273","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Social services","Jobs","190","thousands","3","v1047595142","7.1.1.5","83","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Environment","Jobs","190","thousands","3","v1047595143","7.1.1.6","0","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Development and housing","Jobs","190","thousands","3","v1047595144","7.1.1.7","6","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595145","7.1.1.8","4","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595146","7.1.1.9","10","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","International","Jobs","190","thousands","3","v1047595147","7.1.1.10","2","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Religion","Jobs","190","thousands","3","v1047595148","7.1.1.11","31","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Business and professional associations, unions","Jobs","190","thousands","3","v1047595149","7.1.1.12","64","","","","0"
"2007","Ontario","2016A000235","Employment","Total non-profit institutions","Not elsewhere classified","Jobs","190","thousands","3","v1047595150","7.1.1.13","30","","","","0"
